index,query_text
269,"(research papers) AND (""creation of datasets through model-generated data"") AND (""annotators to identify hallucinations"") AND (""developing diagnostic evaluation datasets"")"
270,"(research papers) AND (""summarizing arbitrary length documents"") AND (""without truncating the input"") AND (""memory networks"")"
271,"(research papers) AND (""automatically choosing in-context examples"")"
272,"(research papers) AND (""create conversational agents"") AND (""inner states represented by a knowledge graph"") AND (""continually updated"") AND (""based on the agent’s environment"")"
273,"(studies) AND (""creation of memory management systems"") AND (AI) AND (""improve sustained conversational capabilities"") AND (""contextual retention over extended periods"")"
274,"(advancements) AND (""language models"" AND ""without tokenization"") AND (""encoding at the character level"") AND (""benefits compared to subword tokenization"")"
275,"(dataset) AND (""toxic sentence pairs"") AND (""non-toxic paraphrased counterparts"") AND (""studying text detoxification"")"
276,"(""SQL-to-text"") AND (""improve text-to-SQL parsing"") AND (""data augmentation techniques"")"
277,"(""dense retrieval models"") AND (""open-domain question answering"") AND (""hard negative mining techniques"")"
278,"(works) AND (""learning embeddings"") AND (""inputted to every transformer layer"") AND (""language model"")"
279,"(multi-hop question answering) AND (paper) AND (""per-hop retrieval evaluation"") AND (""treats each hop independently"")"
280,"(""adatp named entity recognition systems"") AND (""learn new entities"") AND (""knowledge distillation"") AND (""synthetic data augmentation"") AND (""two-stage training approach"")"
281,"(benchmark) AND (""assess language models' social biases"") AND (""question answering frameworks"") AND (""diverse categories of social bias"") AND (""instances of ambiguity and its resolution"")"
282,"(comprehensive dataset) AND (""summarizing broad-spectrum conversational dialogues"")"
283,"(dataset) AND (""open-domain targeted sentiment analysis"") AND (""user reviews"") AND (Yelp OR Amazon)"
284,"(dataset) AND (""question-answer pairs"") AND (""psychological counseling"") AND (""available for research"")"
285,"(research paper) AND (""customer service conversation dataset"") AND (""forecasting customer intentions"") AND (""limitations imposed by agent protocols"")"
286,"(specialized question answering dataset) AND (""intricate tables"") AND (""certain sectors"" AND ""airline industry"")"
287,"(study) AND (""large language models"") AND (""generating ideas pertinent to scientific concepts"") AND (""scientific writing ideation stage"")"
288,"(paper) AND (""fine-tuning mBERT"") AND (""enhance word-level alignment"") AND (""multilingual setting"")"
289,"(research) AND (""Transformer decoders"") AND (""extract interactive shared representations"") AND (CNN networks) AND (""clinical notes"")"
290,"(research) AND (""multilingual pre-trained models"") AND (""identical sets of neural units"") AND (""encode morphosyntactic features"") AND (""various languages"")"
291,"(research) AND (""specialized language model"") AND (""detect mental health issues"") AND (""social media platforms"")"
292,"(research) AND (""transparency and open-access"") AND (""training data of LLMs"") AND (""importance with case studies"") AND (""existing data"")"
293,"(research) AND (""embedding multi-bit data"") AND (""watermarks"") AND (""improve resilience to text corruption"") AND (""safeguarding keywords and syntactic elements"")"
294,"(work) AND (""text classification"") AND (BERT) AND (GNN) AND (""label hierarchy"")"
295,"(approaches) AND (""lower the computational demands"") AND (""basic attention mechanisms"") AND (""transformers"") AND (study) AND (""memory-saving technique"") AND (""selective key-value pairing"") AND (""each query"")"
296,"(scholarly articles) AND (""scaling laws"") AND (""parameter-efficient prompt tuning techniques"") AND (""fine-tuning language models"")"
297,"(scholarly articles) AND (""enhancement of dense retrieval"") AND (""student models"") AND (""prediction distributions from teacher models"")"
298,"(studies) AND (""data-poisoning strategies"") AND (""very few poisoned training examples"")"
299,"(latest advancements) AND (""predicting suicidal tendencies"") AND (""innovative feature extraction methods"")"
300,"(latest developments) AND (""conversational agents"") AND (""integrate external knowledge sources"") AND (""offer emotional support"")"
301,"(benchmarks) AND (""prior research utilized"") AND (""assess models"") AND (""knowledge-rich language tasks"")"
302,"(concerns OR key points) AND (""scholarly articles"") AND (""random divisions in machine learning datasets"") AND (""contamination of the test set"")"
303,"(difficulties) AND (""neural conversational models"") AND (""decoder's ability"") AND (""precise and fact-based replies"")"
304,"(literature) AND (""training semantic parsers"") AND (""deep learning"") AND (""knowledge base question answering"") AND (""tree-structured representations of queries"")"
305,"(methods) AND (""tailoring news suggestions"") AND (""user's preferences"") AND (""current popularity of news stories"")"
306,"(papers) AND (""effect of false negatives"") AND (""hard negatives"") AND (""dense retriever training"")"
307,"(papers) AND (""replacing schema linking"") AND (""human annotations"") AND (""maximum potential benefit"") AND (""text-to-SQL tasks"")"
308,"(recent developments) AND (""transformer architecture"") AND (""multi-head self-attention mechanism"") AND (""transmission of unprocessed attention scores"") AND (""more stable training"")"
309,"(recent research) AND (""improving few-shot learning"") AND (""pre-trained language models"") AND (""prompt-based fine tuning techniques"")"
310,"(research articles) AND (""quantitatively assessing"") AND (""successful neuron interventions"") AND (""altering a model's predictions"")"
311,"(research) AND (""adapter-based tuning"") AND (""full fine-tuning efficacy"") AND (""limited data contexts"") AND (comparison)"
312,"(research) AND (""employing generative models"") AND (""latent variable"") AND (""capture semantic dependencies"") AND (""conversational systems"")"
313,"(research) AND (""incorporating knowledge graphs"") AND (""language models"") AND (""improve complex question-answering"")"
314,"(research) AND (""leveraging syntactic roles"") AND (""semantic interpretations"") AND (""backdoor attacks"") AND (""natural language processing systems"")"
315,"(research) AND (""impact of scaling"") AND (""prompt tuning efficiency"") AND (""pre-trained language models"")"
316,"(research) AND (""using reinforcement learning methods"") AND (""event prediction"") AND (""temporal knowledge graphs"")"
317,"(research) AND (""applying contrastive techniques"") AND (""distinguish normal from abnormal imagery"") AND (""creation of radiology reports"")"
318,"(research) AND (""creating neural network frameworks"") AND (""parsing text into SQL"")"
319,"(research) AND (""determining the ideal segment length"") AND (""unsupervised keyphrase extraction"")"
320,"(research) AND (""enhancing conversational generation models"") AND (""knowledge sourced from the internet"")"
321,"(research) AND (""incorporating visual data"") AND (""text summarization process"")"
322,"(research) AND (""news recommendation engines"") AND (""individual user preferences"") AND (""time-sensitive popularity of news content"")"
323,"(research) AND (""scaling within-document coreference resolution"") AND (""extended texts"")"
324,"(research) AND (""impact of intervening at intermediate layers"") AND (""pretrained language models"") AND (""alter the resulting text"")"
325,"(research) AND (""acquiring sentence embeddings"") AND (""unsupervised approaches"") AND (""contrastive learning methods"")"
326,"(research) AND (""hybrid approaches"") AND (""combine extractive and abstractive methods"") AND (""summarizing extensive texts"")"
327,"(research) AND (""using prefix tokens"") AND (""parameter-efficient method"") AND (""fine-tuning language models"")"
328,"(research) AND (""application of continuous vector prompts"") AND (""language models"") AND (""conventional discrete token-level prompts"")"
329,"(resources OR toolkits) AND (""facilitate prompt-based learning model development"") AND (PyTorch)"
330,"(sources) AND (""maintaining factual accuracy"") AND (""entity level"") AND (""abstractive summary generation"")"
331,"(techniques AND frameworks) AND (""summarizing extensive texts"") AND (""resource-constrained conditions"")"
332,"(techniques) AND (""efficiently fine-tuning transformer language models"") AND (""adjusting a limited set of parameters"")"
333,"(techniques) AND (""incorporating context"") AND (""detecting emotions within dialogues"") AND (""leveraging pre-trained language models"")"
334,"(techniques) AND (""enhance the few-shot fine-tuning performance"") AND (""small pre-trained language models"")"
335,"(techniques) AND (""enhance multimodal sentiment analysis"") AND (""fusing different modalities"")"
336,"(database) AND (""good prompts"") AND (""prompting language models"") AND (""in-context learning"")"
337,"(read about) AND (""using soft embeddings"") AND (""elicit knowledge"") AND (""large pre-trained models"") AND (""small tuning cost"")"
338,"(method) AND (""training additional prompt tokens"") AND (""every layer"") AND (""fine-tuning of language models"") AND (""generation tasks"")"
339,"(paper) AND (""thorough analysis"") AND (""language models of different architectures"") AND (""generate text"") AND (""aligns with natural human language"") OR (""deviates from natural human language"")"
340,"(paper) AND (""introduced the task"") AND (""creating extended, coherent dialogues"") AND (""brief summaries"")"
341,"(paper) AND (""presents a platform"") AND (""evaluating the robustness of models"") AND (""benchmarks"")"
342,"(paper) AND (""generated captions of models"") AND (""worse than human written ones"")"
343,"(paper) AND (""human experts and non-experts focus on very different aspects"") AND (""identifying AI-generated texts"")"
344,"(work) AND (""sparse attention modules"") AND (""evaluate specifically on summarization"")"
345,"(work) AND (""pushes the limit of model quantization"") AND (""BERT models"") AND (""ternary network"")"
346,"(work) AND (""only emplying instance-level uncertainty metrics"") AND (""sample redundancy"") AND (""active learning"")"
347,"(work) AND (""reducing the number of training epochs"") AND (""limits the impact of backdoor attack"") AND (""decreases the prediction accuracy"")"
348,"(work) AND (""machine translation models might get too confident"") AND (""generate coherent but inadequant translations"")"
349,"(works) AND (""training large language models"") AND (""purely mathematical and structural data"") AND (""emergence of causal reasoning faster"")"
350,"(research) AND (""transfer of specialized knowledge"") AND (""various ABSA tasks"") AND (""trained under the same paradigm"")"
351,"(examples) AND (""dense phrase retrieval systems"") AND (""automatic curation of entity dictionaries"")"
352,"(large-scale and open-source text simplification datasets) AND (""long passages"")"
353,"(papers) AND (""build dense retrievers"") AND (""mixture-of-experts architecture"") AND (""each expert is responsible for different types of queries"")"
354,"(dataset paper) AND (""relation extraction performance"") AND (""translated data"") AND (""compare it to English data"")"
355,"(NLP paper) AND (""dialogue generation"") AND (""advancements in the augmentation"") AND (""one-to-many dialogue data"" OR ""one-to-one dialogue data"") AND (""augmentation within the semantic space"")"
356,"(paper) AND (""circumvent a single-truth target"") AND (""training generative language models"")"
357,"(""achieve zero-shot lip reading"")"
358,"(""better attract readers to news articles"") AND (""generating personalized headlines"")"
359,"(""faithfully and explicitly measure the helpfulness"") AND (""human explanations to language models"") AND (""during finetuning and inference"")"
360,"(work) AND (""train (or evaluate) a helpful assistant agent"") AND (""converse with humans"") AND (""humans traverse an environment"") AND (""most suitable resource"")"
361,"(paper) AND (""multimodal (multilingual) abstractive summarization"") AND (""target-oriented vision modeling method"") AND (""improve the quality of summaries"")"
362,"(Chinese hate speech paper) AND (""constructs an insulting lexicon"") AND (""building the dataset"")"
363,"(dataset) AND (""perform aspect-based sentiment classification"") AND (""French news"")"
364,"(decoder-only language model) AND (""does not use a tokenizer"") AND (""operates on raw text bytes"")"
365,"(dialogue dataset) AND (""speaker's utterance is grounded in their persona"") AND (""image-text pairs representing episodic memories"")"
366,"(method) AND (""measuring the critical errors"") AND (""dialogue system makes in its responses"")"
367,"(method) AND (""measures the information provided"") AND (""model generated rationale"") AND (""beyond what the original context provided"")"
368,"(paper) AND (""comparing knowledge distillation and human annotation"") AND (""cost efficiency"")"
369,"(paper) AND (""exploring the curse of multilinguality"") AND (""similar languages"")"
370,"(paper) AND (""applies large language models"") AND (""visual Raven’s Progressive Matrices"")"
371,"(paper) AND (""connects the basic elements of storytelling"") AND (""biased or imbalanced media reporting"")"
372,"(paper) AND (""links exposure bias to distillation"")"
373,"(paper) AND (""language models' error distribution is different for unfamiliar entities"") AND (""not apparent when models are evaluated on familiar entities alone"")"
374,"(paper) AND (""supports the use of automated coherence metrics"") AND (""topic model evaluations"")"
375,"(paper) AND (""Explainable AI techniques"") AND (""investigate how language models represent the expression of morality"")"
376,"(paper) AND (""uses an app for a popular tabletop game"") AND (""gather real transcripts of gameplay"") AND (""concrete values for players' and monsters' health"")"
377,"(paper) AND (""uses evolutionary algorithms"") AND (""neural MT metrics"") AND (""produce translations"")"
378,"(paper) AND (""uses similarity scores"") AND (""check knowledge in diffusion models"")"
379,"(paper) AND (""uses the tree structure of math equations"") AND (""autoregressive language models"")"
380,"(paper) AND (""utilizes the characteristics of human evolutionary knowledge"") AND (""guide language models"") AND (""generating scientific ideas"")"
381,"(study) AND (""help the demonstration retriever better integrate feedback from LLMs"")"
382,"(tool) AND (""automatically segment speech"") AND (""corresponding text transcriptions"") AND (""finer grained alignment"")"
383,"(evaluation metric) AND (""natural language generation"") AND (""predicts the factual consistency score"") AND (""mean-max aggregation method"")"
384,"(dataset) AND (""minimally-contrasting social situations"") AND (""different decisions about appropriate behaviors"")"
385,"(paper) AND (""style transfer for stories"")"
386,"(paper) AND (""exploring real speakers"") AND (""performing multimodal emotion recognition task"")"
387,"(paper) AND (""leverages knowledge distillation of language models"") AND (""textual out-of-distribution detection"") OR (""anomaly detection"")"
388,"(paper) AND (""address attacks on code models"") AND (""leveraging the semantic information"") AND (""attention scores"") AND (""guaranteeing compilation"")"
389,"(paper) AND (""aligns speech and text embeddings better than CTC training"")"
390,"(paper) AND (""applies curriculum learning"") AND (""various NLG tasks"") AND (""without depending on specific metrics"")"
391,"(paper) AND (""applies symbolic distillation"") AND (""black-box generalist language models"") AND (""harvest high-quality counterfactual data"") AND (""out-of-distribution generalization"")"
392,"(paper) AND (""attempts to evaluate the similarity of meaning representations"") AND (""without using annotated data"")"
393,"(paper) AND (""automatically creates a dataset"") AND (""summarizing text from one language to another"") AND (""large collection of languages"")"
394,"(paper) AND (""combines causal inference and finetuning"") AND (""language models"")"
395,"(paper) AND (""constructs augmented training data"") AND (""based on the entity-to-entity correlations"")"
396,"(paper) AND (""employs code LLMs"") AND (""iteratively generate and refine code"") AND (""execution results"") AND (""improve the performance"")"
397,"(paper) AND (""explores and annotates the effectiveness"") AND (""using testimonials or anecdotes"") AND (""discussions"")"
398,"(paper) AND (""explores using only an encoder-only masked language model"") AND (""open-ended long text generation"" AND ""story generation"")"
399,"(paper) AND (""investigates backdoor attacks"") AND (""various types of tasks"") AND (""not limited to classification"") AND (""language models"")"
400,"(paper) AND (""graph neural network"") AND (""integrating label information"") AND (""multi-label low-resource intent classification"")"
401,"(paper) AND (""syntactic rules"") AND (""explicitly guide text generation"")"
402,"(paper) AND (""adversarial training"") AND (""frame level"") AND (""audio-visual representation learning"")"
403,"(paper) AND (""new multimodal video dataset"") AND (""image-level multimodal models do not work well"")"
404,"(paper) AND (""set of criteria"") AND (""comprehensively evaluate generated conversations"")"
405,"(paper) AND (""annotation problems"") AND (""cross-lingual summarization"") AND (""decomposing the task"") AND (""translation and summarization"")"
406,"(paper) AND (""teacher AI inferring mental states"") AND (""student role"") AND (""role-playing game setup"") AND (""reinforcement learning"")"
407,"(paper) AND (""investigate LLMs’ capabilities"") AND (""solving elliptical constructions"") AND (""test-dataset"") AND (""psycolinguistic notion of Thematic Fit"")"
408,"(paper) AND (""data collected from the Dark Web"") AND (""onion domains"") AND (""pretrain a language model"")"
409,"(paper) AND (""prompt tuning"") AND (""multi-answer QA"")"
410,"(paper) AND (""token-level loss"") AND (""enhance sentence-level embedding learning"")"
411,"(paper) AND (""Gaussian processes"") AND (""analyze the vulnerability"") AND (""text-conditioned generative models"")"
412,"(paper) AND (""graph structure"") AND (""model conversation history"")"
413,"(paper) AND (""masked language modeling"") AND (""defend against word-level adversarial attacks"")"
414,"(research paper) AND (""extract attributes"") AND (""predefined label set"") AND (""surrounding context"")"
415,"(work) AND (""large numbers of model outputs"") AND (""encoded and compared"") AND (""causal language models"") AND (""single forward pass"")"
416,"(work) AND (""attacks language models"") AND (""dialogue generation"")"
417,"(works) AND (""achieve balance"") AND (""representativeness and diversity"") AND (""chosen samples"") AND (""few-shot data selection"")"
418,"(""commonsense reasoning dataset"") AND (""generates diverse sentences"") AND (""describe the relation between concepts"")"
419,"(""factuality evaluation dataset"") AND (""evaluate fact-checking models"") AND (""summaries generated by latest summarization models"")"
420,"(""reading comprehension dataset"") AND (""understanding a snippet"") AND (""long story book"") AND (""integrate the necessary long history texts"")"
421,"(paper) AND (""learn a dynamic sequence tokenizer"") AND (""standard gradient backpropagation"")"
422,"(""data-efficient ways"") AND (""learn text embeddings"") AND (""contrastive learning"")"
423,"(methods) AND (""solving the class-incremetal continual learning problems"")"
424,"(""large event-coverage general-domain event argument extraction dataset"")"
425,"(""first paper"") AND (""predicting knowledge graphs"") AND (""nodes, links and attributes change with time"")"
426,"(""performance of large language models"") AND (""text summarization"") AND (""reference-based human evaluations"") AND (""reference-free human evaluations"")"
427,"(""limitations"") AND (""large language models"") AND (""evaluating information-seeking question answering"")"
428,"(paper) AND (""compares humans' and language models'"") AND (""non-literal interpretations"") AND (""deceit, irony, and humor"")"
429,"(work) AND (""explore multi-hop reasoning"") AND (""densifying commonsense knowledge graphs"")"
430,"(article) AND (""first proposed shuffled-group-whitening"") AND (""sentence representation learning"")"
431,"(dataset) AND (""supports narration generation"") AND (""temporal localization tasks"") AND (""Chinese movies"")"
432,"(""family of model"") AND (""generally perform the best"") AND (""event conceptualization task"")"
433,"(""first multimodal model"") AND (""combining text and speech transformers"") AND (""trained without labelled text-speech pairs"")"
434,"(""knowledge graph completion method"") AND (""reducing memory usage"") AND (""pruning features"")"
435,"(""language model distillation paper"") AND (""first identified the capacity gap"") AND (""MoE student model"") AND (""counter the curse of capacity gap"")"
436,"(""numerical reasoning paper"") AND (""first published a dataset"") AND (""different types of size of numbers"") AND (""their representations in arithmetic questions"")"
437,"(paper) AND (""parameter-efficient finetuning"") AND (""first proposes to feed the pretrained weight"") AND (""instead of the activation to an adapter"")"
438,"(paper) AND (""combines the advantages of different frameworks"") AND (""grammar error correction"") AND (""achieves good performance"")"
439,"(paper) AND (""comprehensive survey"") AND (""code large language model"")"
440,"(paper) AND (""employs a two-stage approach"") AND (""generative models"") AND (""tackle ABSA tasks"") AND (""various domains"")"
441,"(paper) AND (""enables interactive semantic parsing"") AND (""training an error correction model"") AND (""simulated human feedback"") AND (""instead of human annotations"")"
442,"(paper) AND (""explored training a GPT-2"") AND (""automatic diagnosis"") AND (""efficient data augmentation"") AND (""symptom prediction and disease identification"")"
443,"(paper) AND (""first aggregates statements"") AND (""represent political actors"") AND (""learns the mapping from languages to representation"") AND (""via pre-training"")"
444,"(paper) AND (""first applied the chain-of-thought technique"") AND (""text summarization field"")"
445,"(paper) AND (""first apply mixture of experts idea"") AND (""large language models"") AND (""domain adaptation"")"
446,"(paper) AND (""first attempts to take potential dependencies"") AND (""same-level labels"") AND (""Hierarchical Text Classification"")"
447,"(paper) AND (""first combines different methods"") AND (""uncertainty quantification"") AND (""in one"")"
448,"(paper) AND (""first combines rewriting and expansion methods"") AND (""reformulate a query"") AND (""conversational search"")"
449,"(paper) AND (""first conducted the positioned error test"") AND (""MAUVE metric"")"
450,"(paper) AND (""first construct large-scale corpus"") AND (""improve in-context learning"") AND (""large language models"") AND (""pre-training stage"")"
451,"(paper) AND (""first constructed a structured knowledge base"") AND (""interconnect different human social roles and attributes"")"
452,"(paper) AND (""first explored In-context learning"") AND (""cross lingual setup"") AND (""made use of alignment"") AND (""better it's performance"")"
453,"(paper) AND (""first found that multilingual models can inference cross-lingual supervision"") AND (""MLM training"") AND (""by themself"")"
454,"(paper) AND (""first introduced document content"") AND (""intermediate generation target"") AND (""utilized textual document identifiers"") AND (""generative retrieval"")"
455,"(paper) AND (""first propose to mask positions"") AND (""pre-train multi-modal document transformer"")"
456,"(paper) AND (""first proposed a cross-domain language model"") AND (""automatically generate much labeled data"") AND (""unlabeled target domain"")"
457,"(paper) AND (""first proposed extracting the pair of target and stance"") AND (""from sentences"")"
458,"(paper) AND (""first proposed shared adapter module"") AND (""across layers"")"
459,"(paper) AND (""first proposed to combine pretrained masked language models"") AND (""discrete diffusion language models"")"
460,"(paper) AND (""first proposed to only update some original weights"") AND (""self-attention layers"") AND (""parameter-efficient fine-tuning"")"
461,"(paper) AND (""first published a real-world Chinese-English text image translation dataset"")"
462,"(paper) AND (""first shows that it is possible to maintain high LLM reasoning performance"") AND (""in-context examples that are absurdly wrong"")"
463,"(paper) AND (""first shows that large language models can be prompted to act like professional annotators"") AND (""evaluate text generation quality"")"
464,"(paper) AND (""first studied the efficiency robustness"") AND (""multi-exit language models"")"
465,"(paper) AND (""first use the attention weights"") AND (""guide the simultaneous inference"") AND (""speech translation models"")"
466,"(paper) AND (""first used structural information"") AND (""coherence modeling"")"
467,"(paper) AND (""found that mutual learning benefits multlingual models"")"
468,"(paper) AND (""highlights the need for leveraging all available resources"") AND (""construct NLP data"") AND (""low-resource languages"")"
469,"(paper) AND (""introduce a DRO like training objective"") AND (""adversarial training"") AND (""without constructing adversarial samples"")"
470,"(paper) AND (""introduced the human-evaluated timeliness metric"") AND (""misinformation detection"")"
471,"(paper) AND (""introduces the R-GCN technique"") AND (""document-level joint entity and relation extraction"")"
472,"(paper) AND (""investigates the influence of the diversity of source tasks"") AND (""performance of target tasks"") AND (""prompt tuning using CrossFit"")"
473,"(paper) AND (""among the earliest to train"") AND (""extensive collection of signing video and subtitle pairs"") AND (""online platforms"")"
474,"(paper) AND (""the first to comprehensively review"") AND (""progress of deep learning"") AND (""mathematical reasoning"")"
475,"(paper) AND (""makes sure that the questions used in the paper are all from real users"") AND (""genuinely curious"")"
476,"(paper) AND (""measured how well the source-translation contribution"") AND (""translation model"") AND (""detect its own hallucinations"")"
477,"(paper) AND (""presents an easy to implement and high performing method"") AND (""OOD detection"") AND (""language models"")"
478,"(paper) AND (""produces a dataset for text simplification"") AND (""over 12 languages"") AND (""evaluates both finetuning and in context learning approaches"")"
479,"(paper) AND (""proposed a learning-based data augmentation method"") AND (""improving compositional generalization"") AND (""language models"")"
480,"(paper) AND (""proposed decomposing the logit update"") AND (""attention blocks’ inputs"") AND (""analyze how the context influences the prediction"")"
481,"(paper) AND (""proposed dictionary-based Bayesian inference"") AND (""improve the performance"") AND (""image text matching model"")"
482,"(paper) AND (""proposed the integration of human translators' considerations"") AND (""machine translation models"") AND (""translating lyrics"")"
483,"(paper) AND (""proposes a memory-efficient optimizer"") AND (""considering the confidence of each update"")"
484,"(paper) AND (""proposes the two-stage training method"") AND (""train an open-domain dialogue evaluator"") AND (""self-collected dataset"")"
485,"(paper) AND (""proposes to use rewriting based approaches"") AND (""defending against adversarial attacks"") AND (""text classification"")"
486,"(paper) AND (""showed that social relationships were helpful"") AND (""identifying inappropriate messages"")"
487,"(paper) AND (""shows assessment of training instabilities"") AND (""different levels"") AND (""language models"")"
488,"(paper) AND (""shows that in instruction tuning, the instructions can be compressed"") AND (""small supporting sets of words"")"
489,"(paper) AND (""studies how current retrieval systems handle queries"") AND (""contain multiple constraints"")"
490,"(paper) AND (""studies the concept of enhancing the coverage"") AND (""selective prediction system"") AND (""re-attempting the questions"") AND (""not sufficiently confident"")"
491,"(paper) AND (""surveyed the datasets and tasks"") AND (""asking clarification questions"") AND (""conversational systems"")"
492,"(paper) AND (""used both automatically generated and manual templates"") AND (""adapt language models"") AND (""from one timestamp to another"")"
493,"(paper) AND (""utilizes language models to generate singable lyrics"") AND (""go well with a predefined melody"")"
494,"(paper) AND (""was the first to propose combining human spoken language and sign language datasets"") AND (""enhance the performance of sign language translation"")"
495,"(papers) AND (""develop methods"") AND (""make in-context learning more computationally efficient"")"
496,"(papers) AND (""among the first to explore"") AND (""targeted training data extraction"")"
497,"(""pre-trained model"") AND (""specifically designed"") AND (""low-resource dialogue summarization tasks"")"
498,"(research paper) AND (""leverages event structure information"") AND (""Abstract Meaning Representation graphs"") AND (""aid in recognizing causal relations between events"")"
499,"(vision-language model) AND (""visual grounding could facilitate efficient language acquisition"") AND OctoBERT"
500,(vision-language model paper) AND (2023) AND (techniques) AND (reduce input tokens) AND (improve model inference speed)
501,"(first paper) AND (online adaptation) AND (""neural MT metrics"") AND (""inference stage"")"
502,"(work) AND (analysis) AND (""source and target contributions"") AND (""output generation"") AND (""local interpretation"") AND (""machine translation models"" AND ""hallucinations"")"
503,"(work) AND (approach) AND (""improve candidate responses"") AND (""smart reply task"") AND (""directly optimizing the metric"") AND (""response is selected by the user"")"
504,"(""first paper"") AND (""handle KBQA"") AND (""LLMs"") AND (""without fine-tuning"")"
505,"(paper) AND (""first focuses on addressing the over-smoothing issue"") AND (""sentence embedding"")"
506,"(""reduce visual tokens"") AND (""vision transformers"") AND (""right from the beginning"")"
507,"(""learn to represent an image"") AND (""arbitary numbers of tokens"")"
508,"(papers) AND (""construct convolutional networks"") AND (""equivariant with respect to non-compact/non-abelian Lie groups"")"
509,"(papers) AND (""study whether you can identify"") AND (""LLM has been instructed to hide some information"")"
510,"(papers) AND (""world model"") AND (""planning"") AND (""ensure that decisions meet constraints"")"
511,"(datasets and benchmarks) AND (""measuring LLM graph reasoning abilities"")"
512,"(""sequential learning guarantees"") AND (""configuring a linear system solver"") AND (""distributional assumption"") AND (""systems' target vectors"")"
513,"(""find the solution"") AND (""Bilevel optimization"") AND (""lower-level problem is nonconvex"")"
514,"(""find a dataset"") AND (""LLM-based evaluation may not be reliable enough"")"
515,"(""research paper"") AND (""structured pruning techniques"") AND (""scale down language models"") AND (""original model"" AND ""billions of parameters"")"
516,"(""Local SGD"") AND (""decaying learning rate"") AND (""distributed training"") AND (paper) AND (""setting the synchronization period"") AND (""optimize test accuracy"")"
517,"(video diffusion models) AND (paper) AND (""decomposing video instruction"") AND (""sub instructions of different time"")"
518,"(paper) AND (""illustrating that pre-trained transformers from LLMs"") AND (""encode visual information"") AND (""wide range of scenarios"")"
519,"(paper) AND (""mixed machine learning and solver based approach"") AND (""code translation"")"
520,"(paper) AND (""Bayesian optimization"") AND (""modular continual learning"")"
521,"(paper) AND (""general data selection method"") AND (""based on information theory"")"
522,"(""parameter-efficient fine-tuning method"") AND (""adjusting the number of optimized parameters to any value"") AND (""irrespective of the model's architecture"") AND (""choice of the adapter"")"
523,"(""single GNN model"" AND ""inductively generalize to any knowledge graph"") OR (""generalize knowledge graph reasoning"" AND ""graphs with new entities and relations"") OR (""foundation model for knowledge graphs"" AND ""does not learn embeddings for each node and relation type"")"
524,"(""theory paper"") AND (""tuning momentum does not boost performance"") AND (""training a neural network"")"
525,"(""existing dataset of images with alt-text"") AND (""includes the text the image was originally posted with"")"
526,"(""generalizable NeRF paper"") AND (""disentangles texture and shape"")"
527,"(paper) AND (""applies off-shelf GPT-2 model"") AND (""D4RL tasks"") AND (""PEFT techniques"")"
528,"(paper) AND (""improves adversarial training"") AND (""forming semantic aware label"") AND (""without extra pre-train time or data"")"
529,"(paper) AND (""parameterize neural networks as proximal operators"")"
530,"(paper) AND (""previously proposed to control a risk"") AND (""prediction sets"") AND (""conformal prediction"")"
531,"(paper) AND (""seamlessly integrates the multigrid structure"") AND (""operator learning"") AND (""solving partial differential equations"")"
532,"(paper) AND (""theoretically explains why in-context reinforcement learning works"")"
533,"(paper) AND (""Lipschitz continuity"") AND (""learning a dynamics model"")"
534,"(paper) AND (""improve MLE"") AND (""auto-regressive language modeling"") AND (""optimal transport"")"
535,"(paper) AND (""probabilsitic formulation of retrosynthesis"")"
536,"(""evaluation benchmarks"") AND (""LLM privacy"") AND (""inference time"") AND (""model input"") AND (""NOT training data"")"
537,"(""key advantages"") AND (""coupling neural SDEs with neural CDEs"") AND (""treatment effect estimation"") AND (""over existing baselines"")"
538,"(paper) AND (""data being collected in bundles"") AND (""reinforcement learning"")"
539,"(""first paper"") AND (""theoretically studies training neural networks"") AND (""small initialization"")"
540,"(""first paper"") AND (""generalized linear model"") AND (""analyze multi-neural spike train data"")"
541,"(""molecular representation learning paper"") AND (""introduced a benchmark"") AND (""thermodynamically-accessible conformer ensembles"")"
542,"(""open-source dataset"") AND (""combined knowledge retrieval"") AND (""constraint satisfaction queries"")"
543,"(paper) AND (""sensitive data issue"") AND (""prompting large language model APIs"")"
544,"(paper) AND (""evaluated the ability of visual few-shot learning models"") AND (""do in-context learning"")"
545,"(paper) AND (""first adapted ControlNet"") AND (""generate continuous videos"") AND (""training-free manner"")"
546,"(paper) AND (""first associate the modeling frequency"") AND (""input human skeletons"") AND (""NeRF framework"")"
547,"(paper) AND (""first extends rotary positional encoding"") AND (""camera-geometry encoding"") AND (""multi-view transformers"")"
548,"(paper) AND (""first proposed a robust perceptual similarity metric"") AND (""certificates"")"
549,"(paper) AND (""first proposes that simply reversing the output"") AND (""significantly enhance the sample efficiency"") AND (""arithmetic capability"") AND (""decoder-only Transformer model"")"
550,"(paper) AND (""first showed that you can score the code explanations"") AND (""pass@k metric"")"
551,"(paper) AND (""first used the technique of prompt engineering"") AND (""generate adversarial prompts"") AND (""fool LLMs"") AND (""wrong predictions"") AND (""prompt-based learning"")"
552,"(paper) AND (""first uses decoupled workers"") AND (""distributed RL system"")"
